"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
discharg_icu_time;outcome;;text;"Time of ICU discharge ";;;time;;;;"[discharge(2)] = '1'";;;;;;
discharg_hospital_date;outcome;;text;"Date of Hospital discharge";;;date_dmy;1990-01-01;2030-01-01;;"[discharge(3)] = '1'";;;;;;
discharg_hospital_time;outcome;;text;"Time of Hospital discharge ";;;time;;;;"[discharge(3)] = '1'";;;;;;
discharg_location;outcome;;dropdown;"Discharge location";"1, Home|2, Transferred to other Hospital|3, Transferred to Long Term Care or Rehab|4, Transferred to Hospice|5, Unknown";;;;;;"[discharge(3)] = '1'";;;;;;
discharg_last_hospital_date;outcome;;text;"Date of Hospital discharge (last Hospital)";;;;;;;"[discharge(4)] = '1'";;;;;;
death;outcome;" ";yesno;Death;;;;;;;;;RH;;;;
death_date;outcome;;text;"Date of Death";;;date_dmy;1990-01-01;2030-01-01;;"[discharge(1)] = '1' or [death] = '1'";;RH;;;;
death_time;outcome;;text;"Time of Death";;;time;;;;"[discharge(1)] = '1' or [death] = '1'";;;;;;
death_cause;outcome;;yesno;"Known Cause of Death? ";;;;;;;"[death]=""1""";;RH;;;;
death_cause_spec;outcome;;notes;;;;;;;;"[death_cause]=""1""";;RH;;;;
thirty_day_mortality;outcome;;yesno;"30 day mortality ";;;;;;;;;RH;;;;
day_survival;outcome;;yesno;"Alive 30 days after first MCS (Impella/vaECLS) implantation?";;;;;;;;;RH;;;;
date_fu_death;outcome;;text;"Date of last Follow-up";;;date_dmy;;;;;;;;;;
notes;outcome;;notes;"Notizen des Telefonats";;;;;;;;;;;;;
mcs;additional_mcs;;yesno;"Additional Mechanical Cardiac Support";;"mechanical cardiac support before/during/after ECLS";;;;;;y;RH;;;;
mcs_impl_date;additional_mcs;;text;"Date of Implantation";;;date_dmy;;;;"[mcs] = '1'";;;;;;
mcs_impl_time;additional_mcs;;text;"Time of Implantation";;;time;;;;"[mcs] = '1'";;;;;;
mcs_spec;additional_mcs;;dropdown;"Additional Mechanical Circulatory Support";"6, Intra-aortic Ballon Pump";;;;;;"[mcs] = '1'";;;;;;
mcs_expl_date;additional_mcs;;text;"Date of Explantation";;;date_dmy;;;;"[mcs] = '1'";;;;;;
mcs_expl;additional_mcs;;text;"Time of Explantation";;;time;;;;"[mcs] = '1'";;;;;;
mcs_impl_site;additional_mcs;;dropdown;"Implantation Site ";"1, Arteria axillaris right|2, Arteria axillaris left|3, Ascending Aorta|4, Truncus Brachiocephalicus|5, Arteria femoralis right|6, Arteria femoralis left";;;;;;"[mcs] = '1'";;;;;;
pat_admit_date;prevaecls;;text;"Hospital Admit Date";;;date_dmy;1990-01-01;2030-01-01;y;;y;;;;;
pat_admit_time;prevaecls;;text;"Hospital Admit Time";;;time;;;;;;;;;;
age_hospital_admit;prevaecls;;calc;"Age at Hospital Admission";"round(datediff([birthdate],[pat_admit_date],""y""))";;;;;;;;RH;;;;" @HIDEN"
pat_transp;prevaecls;;radio;"Patient Transported to Heart Center ";"1, transported not on ECLS|2, transported on ECLS|3, not transported";;;;;;;y;;;;;
pat_icu_date;prevaecls;;text;"ICU Admit Date";;;date_dmy;;;;;;;;;;
pat_icu_time;prevaecls;;text;"ICU Admit Time";;;time;;;;;;;;;;
pre_intermacs;prevaecls;;radio;"INTERMACS Level";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6";;;;;;;;RH;;;;
pre_scai;prevaecls;;radio;"SCAI Stage";"1, A|2, B|3, C|4, D|5, E";;;;;;;;RH;;;;
reason_ecls;prevaecls;" ";radio;"Cardiomyopathy/Reason for ECLS";"1, Ischemic Cardiomyopathy|13, Acute Myocardial Infarction|2, Dilatative Cardiomyopathy|3, Valvular Cardiomyopathy|4, Myokarditis|5, Postpartum Cardiomyopathy|6, Toxic Cardiomyopathy|7, Postcardiotomy Syndrom|9, Pulmonary Embolism|10, Acute Lung Injury|11, Ventricular Septal Defect|12, Cardiopulmonary Reanimation|14, Protected surgery/intervention|8, {reason_ecls_other}";;;;;;;y;;;;;
reason_ecls_other;prevaecls;;text;"Other Reason for ECLS-Implantation";;;;;;;"[reason_ecls] = '8'";;;;;;
pre_postcard;prevaecls;;yesno;"Heart Surgery in the last 7 days? 

(Postcardiotomy Syndrome) ";;;;;;;;;;;;;
pre_failure_cpb;prevaecls;;yesno;"Failure to Wean from Cardiopulmonary Bypass/ECLS? ";;;;;;;"[pre_postcard] = '1'";;;;;;
pre_euroscore;prevaecls;;text;"EuroScore ";;;number_2dp_comma_decimal;;;;"[reason_ecls] = '7' or [reason_ecls] = '14'";;;;;;
pre_mi;prevaecls;" ";yesno;"Previous myocardial infarction ";;;;;;;;y;RH;;;;
pre_mi_date;prevaecls;;text;"Date of Myocardial Infarction";;;date_dmy;;;;[pre_mi]='1';;;;;;
pre_mi_type;prevaecls;;radio;"Type of Myocardial Infarction";"1, NSTEMI|2, STEMI|3, unknown";;;;;;[pre_mi]='1';;RH;;;;
pre_cardiac_arrest;prevaecls;;yesno;"Pre ECLS Cardiac Arrest";;"Cardiac Arrest within 24 hours prior to ECLS with the administration of external cardiac massage ";;;;;;y;RH;;;;
pre_cardiac_arrest_dur;prevaecls;;text;"Duration of Cardiac Arrest ";;minutes;number;1;90;;[pre_cardiac_arrest]='1';;;;;;
pre_cardiac_arrest_type;prevaecls;;checkbox;"Type of Cardiac Arrest";"1, Out of Hospital|2, In Hospital|3, unknown";;;;;;[pre_cardiac_arrest]='1';;RH;;;;
pre_cardiac_arrest_rhythm;prevaecls;;checkbox;"Electrocardiographic Rhythm during Cardiac Arrest";"1, Ventricular Fibrillation|2, Pulseless Ventricular Tachycardia|3, Pulseless Electrical Activity|4, Asystole|5, unknown";;;;;;[pre_cardiac_arrest]='1';;;;;;
bridge_transp;prevaecls;;yesno;"Bridge to Transplant ";;"pre ECLS decision of bridging to transplant";;;;;;y;RH;;;;
trauma;prevaecls;;yesno;"Is Trauma the underlying reason for ECLS?";;;;;;;;y;RH;;;;
intubation;prevaecls;" ";radio;"Intubation before ECLS-Implantation";"1, Yes|2, No|3, Pre-Existing tracheostomy";;;;;;;y;RH;;;;
intubation_after;prevaecls;;yesno;"Intubation after ECLS-Implantation";;;;;;;"[intubation] = '2'";;;;;;
ventil_date;prevaecls;;yesno;"Invasive Ventilation start date available?";;;;;;;"[intubation] = '1' or [intubation] = '3' or [intubation_after] = '1'";;RH;;;;
ventil_start_date;prevaecls;;text;"Invasive Ventilation start date";;;date_dmy;1990-01-01;2030-01-01;;[ventil_date]='1';;;;;;
pre_vent_duration;prevaecls;;calc;"Pre ECLS Ventilation Duration";"round(datediff([ventil_start_date],[ecls_start_date],""d""))";;;;;;"[intubation]='1' OR [intubation]='3'";;;;;;" @HIDDEN"
ventil_time;prevaecls;;yesno;"Invasive Ventilation start time available?";;;;;;;"[intubation] = '1' or [intubation] = '3' or [intubation_after] = '1'";;RH;;;;
ventil_start_time;prevaecls;;text;"Invasive Ventilation start time";;;time;;;;[ventil_time]='1';;;;;;
pre_prone_pos;prevaecls;" ";yesno;"Prone Positioning";;;;;;;;;RH;;;;
pre_prone_pos_start;prevaecls;;text;"Start Date of Prone Positioning";;;date_dmy;1990-01-01;2030-01-01;;"[pre_prone_pos] = '1'";;;;;;
pre_mcs;prevaecls;" ";checkbox;"Mechanical Cardiac Support Codes ";"2, Cardiopulmonary Bypass|5, RVAD|6, LVAD|7, BiVAD|8, Berlin Heart|9, None";"used within the 24 hours pre ECLS";;;;;;y;;;;;" @NONEOFTHEABOVE=9"
pre_ecls_rvad;prevaecls;;dropdown;"RVAD ";"1, Levitronix|2, Heartware|3, Heartmate III|4, Heartmate II";;;;;;"[pre_mcs(5)] = '1'";;;;;;
pre_ecls_rvad_date;prevaecls;;text;"Date of Implantation";;;date_dmy;1990-01-01;2030-01-01;;"[pre_mcs(5)] = '1'";;;;;;
pre_ecls_lvad;prevaecls;;dropdown;LVAD;"1, Heartware|2, Heartmate III|3, Heartmate II";;;;;;"[pre_mcs(6)] = '1'";;;;;;
pre_ecls_lvad_date;prevaecls;;text;"Date of Implantation";;;date_dmy;1990-01-01;2030-01-01;;"[pre_mcs(6)] = '1'";;;;;;
pre_renal_repl;prevaecls;" ";yesno;"Renal Replacement Therapy";;"chronic hemodialysis, home peritioneal dialysis or any renal replacement therapy 24h prior to ECLS";;;;;;;RH;;;;
pre_renal_repl_spec;prevaecls;;dropdown;"<div class=""rich-text-field-label""><p>Specific Renal Replacement Therapy</p></div>";"1, chronic hemodialysis|2, home peritoneal dialysis|3, hemodialysis due to AKI|4, CVVHDF due to AKI";;;;;;"[pre_renal_repl] = '1'";;;;;;
pre_renal_repl_start;prevaecls;;text;"<div class=""rich-text-field-label""><p>Start date of Renal Replacement Therapy</p></div>";;;date_dmy;1990-01-01;2030-01-01;;"[pre_renal_repl_spec] = '3' and [pre_renal_repl_spec] = '4'";;;;;;
pre_ap;prevaecls;" ";radio;"Angina pectoris";"1, none|2, CCS I|3, CCS II|4, CCS III|5, CCS IV|6, non-typical|7, unknown";;;;;;;;;;;;
pre_nyha;prevaecls;;radio;"NYHA score";"1, NYHA I|2, NYHA II|3, NYHA III|4, NYHA IV";;;;;;;;;;;;
pre_arrhythmia;prevaecls;" ";yesno;"Cardiac Arrhythmia ";;"24h pre ECLS";;;;;;;RH;;;;
pre_arrhythmia_spec;prevaecls;;checkbox;"Cardiac Arrhythmia";"1, Atrial Fibrillation|2, Atrial Flutter|3, Ventricular Tachycardia|4, Ventricular Fibrillation|5, AV-Block II|6, AV-Block III|7, Sinus node dysfunction";;;;;;"[pre_arrhythmia] = '1'";;;;;;
pre_vasoactive;prevaecls;" ";checkbox;"Vasoactive Infusion";"1, Dobutamine|2, Dopamine|3, Enoximone|4, Epinephrine|5, Esmolol|6, Levosimendan|7, Metaraminol|8, Metoprolol|9, Milrinone|10, Nicardipine|11, Nitroglycerin|12, Nitroprusside|13, Norepinephrine|14, Phenylephrine|15, Tolazoline|16, Empressin|17, None|18, Unknown";;;;;;;y;;;;;" @NONEOFTHEABOVE=17"
pre_dobutamine;prevaecls;;text;"Dobutamine Dose";;"µg/kg/min ";number_2dp_comma_decimal;0,01;10,00;;"[pre_vasoactive(1)] = '1'";;;;;;
pre_epinephrine;prevaecls;;text;"Epinephrine Dose ";;µg/kg/min;number_2dp_comma_decimal;0,01;1,00;;"[pre_vasoactive(4)] = '1'";;;;;;
pre_norepinephrine;prevaecls;;text;"Norepinephrine Dose";;µg/kg/min;number_2dp_comma_decimal;0,01;1,00;;"[pre_vasoactive(13)] = '1'";;;;;;
pre_vasopressin;prevaecls;;text;"Empressin Dose";;"U/kg/min x 10 000 (für VIS)";number_2dp_comma_decimal;0,05;10,00;;"[pre_vasoactive(16)] = '1'";;;;;;
pre_milrinone;prevaecls;;text;"Milrinone Dose";;µg/kg/min;number_2dp_comma_decimal;0,01;1,00;;"[pre_vasoactive(9)] = '1'";;;;;;
pre_vis;prevaecls;;calc;"Vasoactive Inotropic Score (VIS)";sum([pre_dobutamine],([pre_epinephrine]*100),([pre_milrinone]*10),([pre_norepinephrine]*100),[pre_vasopressin]);;;;;;;;;;;;
pre_organ_support;prevaecls;" ";checkbox;"Other Organ Support";"1, Inhaled Anesthetic|2, Inhalted Epoprostenol|3, Inhaled Nitric Oxide|4, Liquid Ventilation|5, Surfactant|6, Plasmapheresis|7, Therapeutic Hypothermia < 35°C degrees C|9, MARS|10, Cytosorb|8, None";"24 hours prior to ECLS";;;;;;;;;;;" @NONEOFTHEABOVE=8"
pre_med;prevaecls;;checkbox;Medication;"1, Alprostadil|2, IV Bicarbonate|3, Prostacyclin Analogues|4, Narcotics|5, Neuromuscular blockers|6, Sildenafil|7, Systemic Steriods|8, THAM|9, None";"used within 24 hours prior ECLS for at least 6 hours or systemically";;;;;;;;;;;" @NONEOFTHEABOVE=9"
pre_bga;prevaecls_hemodynamics_ventilation_labor;"<div class=""rich-text-field-label""><p>Pre-ECLS Arterial Blood Gas<br /><span style=""font-weight: normal;"">1. Drawn prior to the ECLS Start Time </span><br /><span style=""font-weight: normal;"">2. Drawn no more than 6 hours before the ECLS Start Time </span><br /><span style=""font-weight: normal;"">3. If multiple arterial blood gases exist in this time period, choose the pre-ECLS arterial blood gas closest to AND before the ECLS Start Time </span><br /><span style=""font-weight: normal;"">4. If the patient is on cardiopulmonary bypass immediately preceding ECLS please use a blood gas prior to</span> <span style=""font-weight: normal;"">cardiopulmonary bypass</span></p></div>";yesno;"Pre-ECLS Arterial Blood Gas results available?";;;;;;;;y;RH;;;;
reason_bga;prevaecls_hemodynamics_ventilation_labor;;notes;"Reason for missing Arterial Blood Gas results";;;;;;;"[pre_bga] = '0'";;;;;;
pre_assess_date;prevaecls_hemodynamics_ventilation_labor;;text;"Date of Assessment";;;date_dmy;1990-01-01;2030-01-01;;"[pre_bga] = '1'";y;;;;;
pre_assess_time;prevaecls_hemodynamics_ventilation_labor;;text;"Time of Assessment";;"closest to ECLS start (no more than 6 hours prior)";time;;;;"[pre_bga] = '1'";;;;;;
pre_art_site;prevaecls_hemodynamics_ventilation_labor;;dropdown;"Withdrawal Site";"1, Arteria radialis right|2, Arteria radialis left|3, Arteria brachialis right|4, Arteria brachialis left|5, Arteria femoralis right|6, Arteria femoralis left|7, unknown";;;;;;"[pre_bga] = '1'";;;;;;
pre_pco2;prevaecls_hemodynamics_ventilation_labor;;text;pCO2;;mmHg;number_1dp_comma_decimal;15,0;120,0;;"[pre_bga] = '1'";;;;;;
pre_p02;prevaecls_hemodynamics_ventilation_labor;;text;pO2;;mmHg;number_1dp_comma_decimal;20,0;600,0;;"[pre_bga] = '1'";;;;;;
pre_ph;prevaecls_hemodynamics_ventilation_labor;;text;"pH ";;;number_2dp_comma_decimal;6,80;7,70;;"[pre_bga] = '1'";;;;;;
pre_hco3;prevaecls_hemodynamics_ventilation_labor;;text;HCO3;;mmol/L;number_1dp_comma_decimal;5,0;50,0;;"[pre_bga] = '1'";;;;;;
pre_be;prevaecls_hemodynamics_ventilation_labor;;text;"BE ";;mmol/L;number_1dp_comma_decimal;-25,0;25,0;;"[pre_bga] = '1'";;;;;;
pre_k;prevaecls_hemodynamics_ventilation_labor;;text;"<div class=""rich-text-field-label""><p>Kalium</p></div>";;mmol/L;number_1dp_comma_decimal;1,5;9,0;;"[pre_bga] = '1'";;;;;;
pre_na;prevaecls_hemodynamics_ventilation_labor;;text;"<div class=""rich-text-field-label""><p>Natrium</p></div>";;mmol/L;number;110;160;;"[pre_bga] = '1'";;;;;;
pre_sa02;prevaecls_hemodynamics_ventilation_labor;;text;Sa02;;%;number_1dp_comma_decimal;30,0;100,0;;"[pre_bga] = '1'";;;;;;
pre_gluc;prevaecls_hemodynamics_ventilation_labor;;text;Glucose;;mg/dL;number;20;500;;"[pre_bga] = '1'";;;;;;
pre_lactate;prevaecls_hemodynamics_ventilation_labor;;text;Lactate;;mg/dL;number;1;250;;"[pre_bga] = '1'";;;;;;
pre_svo2_m;prevaecls_hemodynamics_ventilation_labor;;yesno;"Sv02 measured?";;;;;;;"[pre_bga] = '1'";y;RH;;;;
pre_svo2;prevaecls_hemodynamics_ventilation_labor;;text;"Svo2 ";;"% (preferably from the pulmonary artery) ";number_1dp_comma_decimal;15,0;100,0;;[pre_svo2_m]='1';;;;;;
pre_ventilation;prevaecls_hemodynamics_ventilation_labor;"<div class=""rich-text-field-label""><p>Pre-ECLS Ventilator Settings<br /><span style=""font-weight: normal;"">If multiple ventilator settings exist, report the last reported ventilator settings before the ECLS Start Time. If the patient was receiving hand delivered bag valve ventilation immediately prior to going on ECMO, please use the ventilator settings just prior to hand delivered bag valve ventilation</span> <span style=""font-weight: normal;"">unless the patient was hand delivered bag valve ventilation for the entire time prior to the ECLS Start Time.</span></p></div>";radio;Ventilation;"5, Invasive Ventilation|1, Non invasive Ventilation|6, High Flow Therapy|7, Hand Bag Valve Ventilation|4, No ventilation";;;;;;;y;;;;;
pre_vent;prevaecls_hemodynamics_ventilation_labor;;yesno;"Ventilation Parameters available? ";;;;;;;;;RH;;;;
reason_vent;prevaecls_hemodynamics_ventilation_labor;;notes;"Reason for missing Ventilation Parameters";;;;;;;[pre_vent]='0';;;;;;
pre_02l;prevaecls_hemodynamics_ventilation_labor;;text;"O2 ";;L/min;number;1;20;;"[pre_ventilation] = '4' and [pre_vent] = '1'";;;;;;
pre_fi02;prevaecls_hemodynamics_ventilation_labor;;text;Fi02;;%;number;20;100;;"[pre_ventilation] = '5' and [pre_vent]='1' or [pre_ventilation] = '1' and [pre_vent]='1' or [pre_ventilation] = '6' and [pre_vent]='1'";;;;;;
pre_vent_spec;prevaecls_hemodynamics_ventilation_labor;;dropdown;"Ventilation Specifics";"1, IPPV|2, BIPAP|3, SIMV|4, ASB|5, PC-BIPAP|6, PC-PSV|7, PC-CMV|8, PC-SIMV|9, PC-PC-APRV|10, PC-AC|11, VC-CMV|12, VC-SIMV|13, VC-MMV|14, VC-AC|15, SPN-CPAP/PS|16, BiLevel|17, A/C VC|18, A/C PC|19, A/C PRVC|20, SIMV-VC|21, SIMV-PC|22, BiLevel-VG|23, CPAP/PS|24, SBT|25, NIV";;;;;;"[pre_ventilation] = '5' and [pre_vent]='1' or [pre_ventilation] = '1' and [pre_vent]='1'";;;;;;
pre_vent_type;prevaecls_hemodynamics_ventilation_labor;;radio;"Ventilator Type";"1, Conventional|2, HFO";;;;;;"[pre_ventilation] = '5' and [pre_vent]='1' or [pre_ventilation] = '1' and [pre_vent]='1'";;;;;;
pre_hfv_rate;prevaecls_hemodynamics_ventilation_labor;;text;"High Frequency Ventilation Rate";;;number;1;1000;;"[pre_vent_type] = '2' and [pre_vent]='1'";;;;;;
pre_conv_vent_rate;prevaecls_hemodynamics_ventilation_labor;;text;"Conventional Ventilation Rate";;;number;1;20;;"[pre_vent_type] = '1' and [pre_vent]='1'";;;;;;
pre_vent_map;prevaecls_hemodynamics_ventilation_labor;;text;"Mean Airway Pressure";;mbar;number;1;40;;"[pre_ventilation] = '5' and [pre_vent]='1' or [pre_ventilation] = '1' and [pre_vent]='1'";;;;;;
pre_vent_pip;prevaecls_hemodynamics_ventilation_labor;;text;"Peak Inspiratory Pressure";;mbar;number;1;45;;"[pre_ventilation] = '5' and [pre_vent]='1' or [pre_ventilation] = '1' and [pre_vent]='1'";;;;;;
pre_vent_peep;prevaecls_hemodynamics_ventilation_labor;;text;"Positive end-exspiratory Pressure ";;mbar;number;1;30;;"[pre_ventilation] = '5' and [pre_vent]='1' or [pre_ventilation] = '1' and [pre_vent]='1'";;;;;;
pre_hemodynamics;prevaecls_hemodynamics_ventilation_labor;" Hemodynamics ";yesno;"Hemodynamics pre ECLS-Implantation available?";;;;;;;;y;RH;;;;
reason_hemodynamics;prevaecls_hemodynamics_ventilation_labor;;text;"Reason for missing hemodynamics parameter";;;;;;;"[pre_hemodynamics] = '0'";;;;;;
pre_hr;prevaecls_hemodynamics_ventilation_labor;;text;"Heart Rate";;;number;0;200;;"[pre_hemodynamics] = '1'";;;;;;
pre_sys_bp;prevaecls_hemodynamics_ventilation_labor;;text;"Systolic Blood Pressure";;mmHg;number;20;250;;"[pre_hemodynamics] = '1'";;;;;;
pre_dia_bp;prevaecls_hemodynamics_ventilation_labor;;text;"Diastolic Blood Pressure";;mmHg;number;20;200;;"[pre_hemodynamics] = '1'";;;;;;
pre_mean_bp;prevaecls_hemodynamics_ventilation_labor;;text;"Mean Blood Pressure";;mmHg;number;20;200;;"[pre_hemodynamics] = '1'";;;;;;
pre_cvd;prevaecls_hemodynamics_ventilation_labor;;text;"Central Venous Pressure";;mmHg;integer;0;30;;"[pre_hemodynamics] = '1'";;;;;;
pre_sp02;prevaecls_hemodynamics_ventilation_labor;;text;Sp02;;%;number_1dp_comma_decimal;20,0;100,0;;"[pre_hemodynamics] = '1'";;;;;;
pre_temp;prevaecls_hemodynamics_ventilation_labor;;text;"Temperature ";;;number_1dp_comma_decimal;34,0;40,0;;"[pre_hemodynamics] = '1'";;;;;;
pre_pac;prevaecls_hemodynamics_ventilation_labor;;yesno;"Pulmonary Artery Catheter available";;;;;;;"[pre_hemodynamics] = '1'";;RH;;;;
pre_pcwp;prevaecls_hemodynamics_ventilation_labor;;text;"Pulmonary Capillary Wedge Pressure ";;mmHg;number;0;25;;"[pre_pac] = '1'";;;;;;
pre_sys_pap;prevaecls_hemodynamics_ventilation_labor;;text;"Systolic Pulmonary Arterial Pressure";;mmHg;number;0;100;;"[pre_pac] = '1'";;;;;;
pre_dia_pap;prevaecls_hemodynamics_ventilation_labor;;text;"Diastolic Pulmonary Arterial Pressure";;mmHg;number;0;80;;"[pre_pac] = '1'";;;;;;
pre_mean_pap;prevaecls_hemodynamics_ventilation_labor;;text;"Mean Pulmonary Arterial Pressure";;mmHg;number;0;80;;"[pre_pac] = '1'";;;;;;
pre_ci;prevaecls_hemodynamics_ventilation_labor;;text;"Cardiac Index";;L/min/m²;number_1dp_comma_decimal;0,1;7,0;;"[pre_pac] = '1'";;;;;;
pre_neuro;prevaecls_hemodynamics_ventilation_labor;"Neurology ";yesno;"Neurology Parameters available?";;;;;;;;;RH;;;;
pre_gcs;prevaecls_hemodynamics_ventilation_labor;;text;"Glagow Coma Scale ";;;number;3;15;;"[pre_neuro]=""1""";;;;;;
reason_neuro;prevaecls_hemodynamics_ventilation_labor;;radio;"Reason for missing Neurology Parameters";"1, sedated patient|2, not documented|3, not documented (sedated patient with transfer from other hospital)";;;;;;"[pre_neuro]=""0""";;;;;;
pre_lab_results;prevaecls_hemodynamics_ventilation_labor;"<div class=""rich-text-field-label""><p>Labor <br /><span style=""font-weight: normal;"">1. Drawn prior to the ECLS Start Time</span><br /><span style=""font-weight: normal;"">2. Drawn no more than 6 hours before the ECLS Start Time</span><br /><span style=""font-weight: normal;"">3. If multiple values exist in this time period, choose the pre-ECLS labor closest to AND before the ECLS Start Time</span><br /><span style=""font-weight: normal;"">4. If the patient is on cardiopulmonary bypass immediately preceding ECLS please use labor prior to cardiopulmonary bypass</span></p></div>";yesno;"Laboratory results available?";;"24h pre ECLS";;;;;;y;RH;;;;
reason_lab_result;prevaecls_hemodynamics_ventilation_labor;;text;"Reason for missing laboratory results";;;;;;;"[pre_lab_results] = '0'";y;;;;;
pre_lab_results_elso;prevaecls_hemodynamics_ventilation_labor;;radio;"Time of laboratory results purchase";"1, last 6 hours|2, last 24 hours";;;;;;[pre_lab_results]='1';;RH;;;;
pre_wbc;prevaecls_hemodynamics_ventilation_labor;;text;"White Blood Cells";;K/µL;number_1dp_comma_decimal;0,1;30,0;;"[pre_lab_results] = '1'";;;;;;
pre_hb;prevaecls_hemodynamics_ventilation_labor;;text;Hemoglobin;;g/dl;number_1dp_comma_decimal;4,5;20,0;;"[pre_lab_results] = '1'";;;;;;
pre_hct;prevaecls_hemodynamics_ventilation_labor;;text;Hematocrit;;%;number_1dp_comma_decimal;20,0;60,0;;"[pre_lab_results] = '1'";;;;;;
pre_mcv;prevaecls_hemodynamics_ventilation_labor;;text;MCV;;fL;number_1dp_comma_decimal;70,0;99,0;;"[pre_lab_results] = '1'";;;;;;
pre_mch;prevaecls_hemodynamics_ventilation_labor;;text;MCH;;pg;number_1dp_comma_decimal;20,0;40,0;;"[pre_lab_results] = '1'";;;;;;
pre_mchc;prevaecls_hemodynamics_ventilation_labor;;text;MCHC;;g/dL;number_1dp_comma_decimal;30,0;40,0;;"[pre_lab_results] = '1'";;;;;;
pre_ret;prevaecls_hemodynamics_ventilation_labor;;text;"Reticulocytes ";;;number;;;;"[pre_lab_results] = '1'";;;;;;
pre_rpi;prevaecls_hemodynamics_ventilation_labor;;text;"Reticulocyte Production Index";;;number;;;;"[pre_lab_results] = '1'";;;;;;
pre_rdw;prevaecls_hemodynamics_ventilation_labor;;text;RDW;;;number_1dp_comma_decimal;10,0;15,0;;"[pre_lab_results] = '1'";;;;;;
pre_plt;prevaecls_hemodynamics_ventilation_labor;;text;Platelets;;K/µL;number;1;800;;"[pre_lab_results] = '1'";;;;;;
pre_crp_m;prevaecls_hemodynamics_ventilation_labor;;yesno;"CRP measured? ";;;;;;;"[pre_lab_results] = '1'";y;;;;;
pre_crp;prevaecls_hemodynamics_ventilation_labor;;text;CRP;;mg/dl;number_1dp_comma_decimal;1,0;50,0;;[pre_crp_m]='1';;;;;;
pre_pct_m;prevaecls_hemodynamics_ventilation_labor;;yesno;"Procalcitonin measured?";;;;;;;[pre_lab_results]='1';y;RH;;;;
pre_pct;prevaecls_hemodynamics_ventilation_labor;;text;Procalcitonin;;ng/ml;number_2dp_comma_decimal;0,00;10,00;;[pre_pct_m]='1';;;;;;
pre_alb;prevaecls_hemodynamics_ventilation_labor;;text;"<div class=""rich-text-field-label""><p>Albumin</p></div>";;g/dl;number_1dp_comma_decimal;1,0;10,0;;"[pre_lab_results] = '1'";;;;;;
pre_ptt;prevaecls_hemodynamics_ventilation_labor;" ";text;PTT;;s;number_1dp_comma_decimal;22,0;180,0;;"[pre_lab_results] = '1'";;;;;;
pre_quick;prevaecls_hemodynamics_ventilation_labor;;text;Quick;;%;number;1;100;;"[pre_lab_results] = '1'";;;;;;
pre_inr;prevaecls_hemodynamics_ventilation_labor;;text;INR;;;number_1dp_comma_decimal;1,0;8,0;;"[pre_lab_results] = '1'";;;;;;
pre_act_m;prevaecls_hemodynamics_ventilation_labor;;yesno;"ACT measured?";;;;;;;[pre_lab_results]='1';y;RH;;;;
pre_act;prevaecls_hemodynamics_ventilation_labor;;text;ACT;;;number;90;800;;[pre_act_m]='1';;;;;;
pre_ck;prevaecls_hemodynamics_ventilation_labor;" ";text;CK;;U/L;number;0;20000;;"[pre_lab_results] = '1'";;;;;;
pre_ckmb;prevaecls_hemodynamics_ventilation_labor;;text;"CK - MB";;U/L;number;0;700;;"[pre_lab_results] = '1'";;;;;;
pre_got;prevaecls_hemodynamics_ventilation_labor;;text;GOT;;U/L;number;1;1000;;"[pre_lab_results] = '1'";;;;;;
pre_ldh;prevaecls_hemodynamics_ventilation_labor;;text;LDH;;U/L;number;1;20000;;"[pre_lab_results] = '1'";;;;;;
pre_lipase;prevaecls_hemodynamics_ventilation_labor;;text;Lipase;;U/L;number_1dp_comma_decimal;4,0;200,0;;[pre_lab_results]='1';;;;;;
pre_crea;prevaecls_hemodynamics_ventilation_labor;" ";text;Creatinin;;mg/dl;number_1dp_comma_decimal;0,1;7,0;;"[pre_lab_results] = '1'";;;;;;
pre_urea;prevaecls_hemodynamics_ventilation_labor;;text;Urea;;mg/dl;number_1dp_comma_decimal;10,0;300,0;;"[pre_lab_results] = '1'";;;;;;
pre_cc;prevaecls_hemodynamics_ventilation_labor;;text;"Creatinine Clearance";;ml/min/1.73^-2;number_2dp_comma_decimal;1,00;150,00;;"[pre_lab_results] = '1'";;;;;;
pre_hemolysis;prevaecls_hemodynamics_ventilation_labor;" ";yesno;"Hemolysis Parameter collected";;;;;;;"[pre_lab_results] = '1'";;RH;;;;
pre_fhb;prevaecls_hemodynamics_ventilation_labor;;text;"free Hemoglobin ";;mg/dl;number_2dp_comma_decimal;0,00;200,00;;"[pre_hemolysis] = '1'";;;;;;
pre_hapto;prevaecls_hemodynamics_ventilation_labor;;text;"Haptoglobin ";;mg/dl;number_1dp_comma_decimal;8,0;300,0;;"[pre_hemolysis] = '1'";;;;;;
pre_bili;prevaecls_hemodynamics_ventilation_labor;;text;"Bilirubin (total)";;mg/dl;number_1dp_comma_decimal;0,1;40,0;;[pre_lab_results]='1';;;;;;
